id	comma-separated identified biomolecules	patent name	patent title	patent abstract
34139775	immunoglobulin,nucleic acid encode such protein,binding protein	US9605039	Protein scaffolds for antibody mimics and other binding proteins	Disclosed herein are proteins that include an immunoglobulin fold and that can be used as scaffolds. Also disclosed herein are nucleic acids encoding such proteins and the use of such proteins in diagnostic methods and in methods for evolving novel compound-binding species and their ligands.
34558250	epidermal growth factor receptor,antibody,vhh	EP2251357	Camelidae single domain antibodies VHH directed against epidermal growth factor receptor and uses therefor	The present invention relates to antibodies directed to Epidermal Growth Factor Receptor that are single domain antibodies Camelidae VHHs. It further relates to methods of use of said polypeptides.
34575733	retrovirus protein,intracellular antibody	US20060150261	Intracellular antibodies for a retrovirus protein	A transgenic organism is provided comprising a polynucleotide construct encoding an intracellular antibody which disrupts the catalysis of the production of the xenoantigen galactose alpha 1,3 galactose and/or a polynucleotide construct which encodes an intracellular antibody which binds specifically to a retrovirus protein, such as a PERV particle protein. Also described are methods for the production of such organisms. Cells, tissues and organs of the transgenic organism may be used in xenotransplantation.
34632969	anticarcinoma antibody,lung carcinoma this antibody	US7872105	Anticarcinoma antibodies and uses thereof	A novel single domain antibody AFAI and fragments thereof which has specific affinity for binding to carcinoma, and especially lung carcinoma. This antibody, and portions thereof, can be used, inter alia in the diagnosis and treatment of carcinoma.
34778197	polypeptide chain,target epitope,binding protein	US9012371	Mixtures of binding proteins	Described are methods for producing libraries of cells expressing at least two separate single polypeptide chain binding proteins, in which the binding proteins have different target epitopes. Such libraries are made by integration of the nucleic acid sequences encoding the polypeptide chains into the genome of the host cell, and selecting for cells that have successfully integrated these nucleic acids. The selected cells are preferably subjected to a cloning step. Mixtures of binding proteins are produced without having to individually produce each of the components of the mixture.; A library of cells wherein essentially each cell encodes at least two single polypeptide chain binding proteins having different target epitopes is also herewith provided, as well as methods for producing a composition comprising at least two separate single polypeptide chain binding proteins having different target epitopes.
34778266	specific antigen,transporter domain,hybrid protein	WO2005068619	GENERATION OF SPECIFIC ADHESION IN GRAM-NEGATIVE BACTERIA BY MEANS OF ANCHORING IMMUNOGLOBULIN SINGLE DOMAINS ON THEIR SURFACE WITH AUTOTRANSPORTERS	The present invention refers to an expression vector for gram-negative bacteria allowing for the production of hybrid proteins between single domain recombinant antibodies and a transporter domain of an autotransporter, as well as to its anchoring and expression on the external surface of a bacterial membrane, and to a method of specific bacterial adhesion to a surface containing a specific antigen.
34833683	immunoglobulins,heavy chain immunoglobulin,position 27	WO2005075515	IMMUNOGLOBULINS AND METHOD FOR THEIR MODIFICATION	Heavy chain immunoglobulins that comprise an amino acid with a side chain which is not positively charged, in the first tryptic site, especially at position 27, show increased stability in the gastrointestinal tract.
34928702	epitope	US20210347816	METHOD FOR AFFINITY PURIFICATION	The invention relates to a method of immunoaffinity purification which comprises the use of a binding agent which binds to an epitope that is present at least twice on the target molecule. In another embodiment the method uses at least two different binding agents, each binding to different epitopes on the target molecule.
34954794	anti-cd16 vh sequence	US20160083476	PRODUCTION OF ANTIBODY FORMATS AND IMMUNOLOGICAL APPLICATIONS OF SAID FORMATS\n	The invention concerns antibody formats comprising VHsequence of Camelidae, such as llamas; antibodies of various formats have anti-CEA or anti-CD16 VH sequences thereof; vectors expressing the antibody formats, and methods for producing the same.
34976293		WO2005087802	PROCESS FOR PRODUCING POLYPEPTIDES	A process is described for producing a polypeptide heterologous to E. coli wherein E. coli cells comprising nucleic acid encoding the polypeptide are cultured in a culture medium while feeding to the culture medium a transportable organophosphate, such that the nucleic acid is expressed. The polypeptide is then recovered from the cells.
35323183	r,position 103,mutant heavychain antibody,heavychain antibody,position 45	JP2005289809	MUTANT HEAVY-CHAIN ANTIBODY	PROBLEM TO BE SOLVED: To provide a new heavy-chain antibody and a single domain heavy-chain antibody useful in the field of immunology. ;SOLUTION: The functional heavy-chain antibody comprises an amino acid which is neither a charged amino acid nor cysteine at position 45 and comprising an amino acid at position 103 selected from the group consisting of R, G, K, S, and P optionally in combination with Q at position 108. ;COPYRIGHT: (C)2006,JPO&NCIPI
35425535	cdrs,antibody variable domain,cdr,variable domain,vfr	US07785903	Variable domain library and uses	The invention provides polypeptides comprising a variant heavy chain variable framework domain (VFR). In some embodiments, the amino acids defining the VFR form a loop of an antigen binding pocket. In an embodiment, the polypeptide is a variable domain of a monobody and has a variant VFR. The polypeptide may optionally comprise one or more complementary determining regions (CDRs) of antibody variable domains. In an embodiment, the polypeptide is a variable domain of a monobody and has a variant VFR and one or more variant CDRs. Libraries of polypeptides that include a plurality of different antibody variable domains generated by creating diversity in a VFR, and optionally, one or more CDRs are provided and may be used as a source for identifying novel antigen binding polypeptides that can be used therapeutically or as reagents. The invention also provides fusion polypeptides, compositions, and methods for generating and using the polypeptides and libraries.
35431831	vh antigenbinding domain,multivalent polypeptide complex,functional heavy chainonly antibody,fully functional heavy chainonly antibody,heavy chainonly antibody,classspecific heavy chainonly antibody	US9353179	Binding molecules	The present invention relates to the manufacture of a diverse repertoire of functional heavy chain-only antibodies that undergo affinity maturation, and uses thereof. The invention also relates to the manufacture and use of a diverse repertoire of class-specific heavy chain-only antibodies and to the manufacture and use of multivalent polypeptide complexes with antibody heavy chain functionality, preferably antibody heavy chain binding functionality, constant region effector activity and, optionally, additional effector functions. The present invention also relates to a method of generation of fully functional heavy chain-only antibodies in transgenic mice in response to antigen challenge. In particular, the present invention relates to a method for the generation of human antigen-specific, high affinity, heavy chain-only antibodies of any class, or mixture of classes and the isolation and expression of fully functional VH antigen-binding domains.
35457415	bispecific fusion antibody,antigenbinding fragment	KR20120133403	BISPECIFIC FUSION ANTIBODIES WITH ENHANCED SERUM HALF-LIFE	
35700351	vhh,heavy chain variable domain antibody	WO2007035092	VHH FOR THE DIAGNOSIS, PREVENTION AND TREATMENT OF DISEASES ASSOCIATED WITH PROTEIN AGGREGATES	The present invention provides heavy chain variable domain antibodies (VHH) for preventing and/or dissolving aggregates. VHH of the invention are preferably used in the treatment of human diseases that are associated with the formation of aggregates in the body. The invention further provides, among others, means and methods for selecting and using VHH.
35711127	cterminal end	WO2007039645	AFRICAN TRYPANOSOMIASIS THERAPY WITH A NANOBODY-CONJUGATED HUMAN TRYPANOLYTIC FACTOR	The present invention relates to the treatment of trypanosomiasis using a nanobody- conjugated trypanolytic factor. More specifically, it relates to a therapy with nanobody- conjugated human apo-L1, whereby said apo-L1 is preferably truncated at the C-terminal end to avoid neutralization by the trypanosomes.
35800205	tnfalpha receptor,single domain antibody,tumor necrosis factoralpha	US9371381	Single domain antibodies directed against tumor necrosis factor-alpha and uses therefor	The present invention relates to polypeptides derived from single domain heavy chain antibodies directed to Tumor Necrosis Factor-alpha. It further relates to single domain antibodies that are Camelidae VHHs. It further relates to methods of administering said polypeptides. It further relates to protocols for screening for agents that modulate the TNF-alpha receptor, and the agents resulting from said screening.
36029899	a/f,vhh antibody,v/a,mutate vhh antibody,g/f	JP2006052201	MUTATED VHH ANTIBODY OF CAMELIDAE ANIMAL AND METHOD FOR PRODUCING THE SAME	PROBLEM TO BE SOLVED: To provide a VHH antibody inhibiting the formation of a disulfide bond and having activities; and to provide a method for producing the VHH antibody. SOLUTION: The mutated VHH antibody is obtained by substituting two cysteine residue (C/C) constituting an intramolecular disulfide bond with W/A, A/A, W/P, A/V, W/G, S/A, A/I, A/F, G/V, G/L, A/S, V/A, G/F, S/S, G/I, G/A or A/L (wherein, A is alanine; W is tryptophane; P is proline; V is valine; S is serine; I is isoleucine; F is phenylalanine; and G is glycine) in an antibody (VHH antibody) of the Camelidae animal having the intramolecular disulfide bond, and free from a light chain. ;COPYRIGHT: (C)2006,JPO&NCIPI
36075489	heavy chain immunoglobulin,antibody	US20060064782	Production of antibodies	A method for modifying a plant to produce antibodies or active fragments or derivatives thereof in a desired cellular compartment comprising introducing into a plant a DNA sequence encoding a heavy chain immunoglobulin or an active fragment or derivative thereof or a sequence encoding a protein functionally equivalent thereto and plants so modified are disclosed.
36088316	immunoglobulin,heavy chain immunoglobulin,dab,food product,vhh	US8105592	Heavy chain and single domain antibodies	The present invention relates to heavy chain immunoglobulins or fragments thereof of the VHH or VNAR type, or domain antibodies (dAbs) of the heavy or light chains of immunoglobulins or fragments thereof, suitable for use in the management of infections, in particular of the gastrointestinal tract. The present invention also relates to a delivery system comprising these heavy chain immunoglobulins or functional fragments thereof of the VHH or VNAR type, or domain antibodies (dAbs) of the heavy or light chains of immunoglobulins or fragments thereof, and hosts comprising expression vectors encoding for these heavy chain immunoglobulins or functional fragments thereof of the VHH or VNAR type, or domain antibodies (dAbs) of the heavy or light chains of immunoglobulins or fragments thereof. The invention also relates to food products and pharmaceutical preparations comprising the delivery system, and methods for the preparation of food products according to the invention.
36119494		US7615218	Methods for determining and lowering caffeine concentration in fluids	Single-chain, camelized heavy chain antibodies immunospecific for caffeine and stable at high temperatures are useful for analysis and recovery of caffeine in or from fluids. A device that provides a single-step lateral flow assay for caffeine and a useful peptide spacer are also described.
36148693	anti-a-beta polypeptide,`` single domain camelide anti amyloid beta antibodies,abeta	WO2006040153	SINGLE DOMAIN CAMELIDE ANTI -AMYLOID BETA ANTIBODIES AND POLYPEPTIDES COMPRISING THE SAME FOR THE TREATMENT AND DIAGNOSIS OF DEGENARATIVE NEURAL DISEASES SUCH AS ALZHEIMER'S DISEASE	The present invention relates to anti-A-beta polypeptides comprising at least one Nanobody, or a functional fragment thereof, directed against A-beta, for the treatment of diseases or disorders mediated by A-beta or dysfunction thereof, or mediated by amyloid plaque formation.
36580398	cdr3,antigen,variable region,fusion protein,cdr2,heavy chain antibody,gfp epitope,framework 1,chromophoric protein,cdr1	EP2055718	Targeting and tracing of antigens in living cells	The present invention relates to a method of detecting the presence, amount or subcellular location of an antigenic structure of interest in a cell, comprising the steps of: (a) (i) expressing a fusion protein directed to the antigenic structure of interest in said cell or (ii) introducing a fusion protein directed to the antigenic structure of interest and coupled to a (poly)peptide capable of transducing into said cell; wherein said fusion protein comprises a first (poly)peptide sequence comprising the variable region of a heavy chain antibody of Camelidae and capable of specifically binding to a GFP epitope, and a second (poly)peptide sequence derivable from a fluorescent or chromophoric protein, wherein said (1.) first (poly)peptide sequence is composed of framework 1, CDR1, framework 2, CDR2, framework 3 and CDR3, encoded by the nucleic acid sequence of SEQ ID NO: 11 or 31 or encoded by a nucleic acid sequence with at least 70% sequence identity or a fragment thereof.
36954329	tnfalpha,tumor necrosis factoralpha	US11472871	Nanobodies against tumor necrosis factor-alpha	The present invention relates to improved Nanobodies\u2122 against Tumor Necrosis Factor-alpha (TNF-alpha), as well as to polypeptides comprising or essentially consisting of one or more of such Nanobodies. The invention also relates to nucleic acids encoding such Nanobodies and polypeptides; to methods for preparing such Nanobodies and polypeptides; to host cells expressing or capable of expressing such Nanobodies or polypeptides; to compositions comprising such Nanobodies, polypeptides, nucleic acids or host cells; and to uses of such Nanobodies, such polypeptides, such nucleic acids, such host cells or such compositions, in particular for prophylactic, therapeutic or diagnostic purposes, such as the prophylactic, therapeutic or diagnostic purposes.
37024986	polypeptide chain,a capture molecule,bispecific capturing molecule	US2009170220	BISPECIFIC CAPTURING MOLECULE	A capturing molecule having an association containing a plurality of polypeptide chains that specifically bind to different sites of a target substance, characterized in that each of the polypeptide chains has a domain having a hypervariable loop structure at a binding site binding to the target substance and an association portion for forming the association, and the polypeptide chains are associated via the association portions present in the polypeptide chains.
37115996	targetable protein,plexin d1	US9988449	Plexin D1 as a target for tumor diagnosis and therapy	The present invention relates to plexin D1 for use as a targetable protein in the treatment or diagnosis of disorders that involve expression of plexin D1. Diagnosis is suitably effected by detecting the presence of plexin D1 in the body or a bodily tissue or fluid, whereas treatment is effected by targeting plexin D1 for delivery of therapeutics to the site where treatment is needed. The invention further relates to the use of molecules that bind plexin D1, a nucleic acid encoding plexin D1 or a ligand of plexin D1 for the preparation of a therapeutical composition for the treatment or diagnosis of disorders that involve expression of plexin D1. The disorders comprise disorders in which plexin D1 is expressed on tumor cells, tumor blood vessels or activated macrophages.
37311149	tumor necrosis factoralpha,tnfalpha	US8703131	Nanobodies against tumor necrosis factor-alpha	The present invention relates to improved Nanobodies(TM) against Tumor Necrosis Factor-alpha (TNF-alpha), as well as to polypeptides comprising or essentially consisting of one or more of such Nanobodies. The invention also relates to nucleic acids encoding such Nanobodies and polypeptides; to methods for preparing such Nanobodies and polypeptides; to host cells expressing or capable of expressing such Nanobodies or polypeptides; to compositions comprising such Nanobodies, polypeptides, nucleic acids or host cells; and to uses of such Nanobodies, such polypeptides, such nucleic acids, such host cells or such compositions, in particular for prophylactic, therapeutic or diagnostic purposes, such as the prophylactic, therapeutic or diagnostic purposes.
37431613	von willebrand factor,vwf	US8372398	Single domain VHH antibodies against Von Willebrand Factor	The present invention relates to improved Nanobodies\u2122 against von Willebrand Factor (vWF), as well as to polypeptides comprising or essentially consisting of one or more of such Nanobodies. The invention also relates to nucleic acids encoding such Nanobodies and polypeptides; to methods for preparing such Nanobodies and polypeptides; to host cells expressing or capable of expressing such Nanobodies or polypeptides; to compositions comprising such Nanobodies, polypeptides, nucleic acids or host cells; and to uses of such Nanobodies, such polypeptides, such nucleic acids, such host cells or such compositions, in particular for prophylactic, therapeutic or diagnostic purposes, such as the prophylactic, therapeutic or diagnostic purposes.
37809219	apoptotic protein,bax,singledomain antibody,single-domain anti-body,caspase3,proapoptotic protein bax	US8361462	Anti-apoptotic protein antibodies	Single-domain anti-bodies that bind pro-apoptotic proteins Bax and caspase-3 are identified and isolated. These single-domain antibodies may be used to modulate the active of Bax and caspase-3, thereby modulating the symptoms and steps of oxidative stress and/or cell apoptosis, including Bax dimerization, mitochondrial permeabilization and the release of apoptotic proteins.
37814249	il1\xdf,il1a,il1ra,protease,il1r1,il1	WO2007063311	COMPETITIVE DOMAIN ANTIBODY FORMATS THAT BIND INTERLEUKIN 1 RECEPTOR TYPE 1	The invention relates to dAb monomers that bind IL-1R1 and inhibit binding of IL-1 (e.g., IL-1a and/or IL-1\u00df) and IL-1ra to IL-1R1, and to ligands comprising such dAb monomers. The invention relates to protease resistand dAb monomers, and to ligands comprising protease resistant dAb monomers. The invention also relates to nucleic acids including vectors that encode the dAb monomers and ligand, to host cells that comprise the nucleic acids and to method for producing a dAb monomer or ligand. The invention also relates to pharmaceutical compositions that comprise the dAb monomers or ligands, and to therapeutic methods that comprise administering a dAb monomer of ligand.
37820651		US20100021473	Bispecific Ligands With Binding Specificity to Cell Surface Targets and Methods of Use Therefor	Disclosed are ligands comprising a first polypeptide domain having a binding site with binding specificity for a first cell surface target and a second polypeptide domain having a binding site for a second cell surface target, wherein each target are different and on the same cell. In some embodiments, the ligands described further comprise a toxin. In other embodiments, the ligands further comprise half-life extending moieties. Also disclosed are methods of using these ligands. In particular, the use of these ligands for cancer therapy is described.
37820653	epidermal growth factor receptor,vascular endothelial growth factor,egfr,vegf	US20130041136	LIGANDS THAT HAVE BINDING SPECIFICITY FOR EGFR AND/OR VEGF AND METHODS OF USE THEREFOR	Disclosed are ligands that have binding specificity for vascular endothelial growth factor (VEGF), for epidermal growth factor receptor (EGFR), or for VEGF and EGFR. Also disclosed are methods of using these ligands. In particular, the use of these ligands for cancer therapy is described.
37837037	igfir,epidermal growth factor receptor,egfr,insulin growth factori receptor	WO2007042289	NANOBODIES AND POLYPEPTIDES AGAINST EGFR AND IGF-IR	The invention relates to polypeptides and Nanobodies against Epidermal Growth Factor Receptor (EGFR) and/or Insulin Growth Factor-I Receptor (IGF-IR). The invention also relates to nucleic acids encoding such Nanobodies and polypeptides; to methods for preparing such Nanobodies and polypeptides; to host cells expressing or capable of expressing such Nanobodies or polypeptides; to compositions, and in particular to pharmaceutical compositions, that comprise such Nanobodies, polypeptides, nucleic acids and/or host cells; and to uses of such Nanobodies, polypeptides, nucleic acids, host cells and/or compositions, in particular for prophylactic, therapeutic or diagnostic purposes.
37885775	il1r1,protease,il 1,il 1r1,il 1 ra	WO2007063308	NONCOMPETITIVE DOMAIN ANTIBODY FORMATS THAT BIND INTERLEUKIN 1 RECEPTOR TYPE 1	The invention relates to dAb monomers that bind IL-1R1 and inhibit binding of IL- 1 (e.g. , IL- 1 a and/or IL- 1 \u00df) to the receptor but do not inhibit binding of IL- 1 ra to IL- 1R1, and to ligands comprising such dAb monomers. The invention relates to protease resistand dAb monomers, and to ligands comprising protease resistant dAb monomers. The invention also relates to nucleic acids including vectors that encode the dAb monomers and ligand, to host cells that comprise the nucleic acids and to method for producing a dAb monomer or ligand. The invention also relates to pharmaceutical compositions that comprise the dAb monomers or ligands, and to therapeutic methods that comprise administering a dAb monomer of ligand.
